Transaction ID,Date,Customer ID,Gender,Age,Generation,Product Category,Quantity,Price per Unit,Total Sales, Commission 2023 ,,,
34,12/24/2023,CUST034,Female,51,Senior,Clothing,3,50,150, £2.25 ,,,
35,8/5/2023,CUST035,Female,58,Senior,Beauty,3,300,900, £13.50 ,,,
36,6/24/2023,CUST036,Male,52,Senior,Beauty,3,300,900, £13.50 ,,,
37,5/23/2023,CUST037,Female,18,Young Adult,Beauty,3,25,75, £1.13 ,,,
38,3/21/2023,CUST038,Male,38,Adult,Beauty,4,50,200, £3.00 ,,,
39,4/21/2023,CUST039,Male,23,Young Adult,Clothing,4,30,120, £1.80 ,,,
40,6/22/2023,CUST040,Male,45,Adult,Beauty,1,50,50, £0.75 ,,,
41,2/22/2023,CUST041,Male,34,Adult,Clothing,2,25,50, £0.75 ,,,
42,2/17/2023,CUST042,Male,22,Young Adult,Clothing,3,300,900, £13.50 ,,,
43,7/14/2023,CUST043,Female,48,Adult,Clothing,1,300,300, £4.50 ,,,
44,2/19/2023,CUST044,Female,22,Young Adult,Clothing,1,25,25, £0.38 ,,,
45,7/3/2023,CUST045,Female,55,Senior,Electronics,1,30,30, £0.45 ,,,
46,6/26/2023,CUST046,Female,20,Young Adult,Electronics,4,300,1200, £18.00 ,,,
47,11/6/2023,CUST047,Female,40,Adult,Beauty,3,500,1500, £22.50 ,,,
48,5/16/2023,CUST048,Male,54,Senior,Electronics,3,300,900, £13.50 ,,,
49,1/23/2023,CUST049,Female,54,Senior,Electronics,2,500,1000, £15.00 ,,,
50,8/24/2023,CUST050,Female,27,Young Adult,Beauty,3,25,75, £1.13 ,,,
51,10/2/2023,CUST051,Male,27,Young Adult,Beauty,3,25,75, £1.13 ,,,
52,3/5/2023,CUST052,Female,36,Adult,Beauty,1,300,300, £4.50 ,,,
53,7/13/2023,CUST053,Male,34,Adult,Electronics,2,50,100, £1.50 ,,,
54,2/10/2023,CUST054,Female,38,Adult,Electronics,3,500,1500, £22.50 ,,,
55,10/10/2023,CUST055,Male,31,Adult,Beauty,4,30,120, £1.80 ,,,
56,5/31/2023,CUST056,Female,26,Young Adult,Clothing,3,300,900, £13.50 ,,,
57,11/18/2023,CUST057,Female,63,Senior,Beauty,1,30,30, £0.45 ,,,
58,11/13/2023,CUST058,Male,18,Young Adult,Clothing,4,300,1200, £18.00 ,,,
59,7/5/2023,CUST059,Male,62,Senior,Clothing,1,50,50, £0.75 ,,,
60,10/23/2023,CUST060,Male,30,Adult,Beauty,3,50,150, £2.25 ,,,
61,4/9/2023,CUST061,Male,21,Young Adult,Beauty,4,50,200, £3.00 ,,,
62,12/27/2023,CUST062,Male,18,Young Adult,Beauty,2,50,100, £1.50 ,,,
63,2/5/2023,CUST063,Male,57,Senior,Electronics,2,25,50, £0.75 ,,,
64,1/24/2023,CUST064,Male,49,Adult,Clothing,4,25,100, £1.50 ,,,
65,12/5/2023,CUST065,Male,51,Senior,Electronics,4,500,2000, £30.00 ,,,
66,4/27/2023,CUST066,Female,45,Adult,Electronics,1,30,30, £0.45 ,,,
67,5/29/2023,CUST067,Female,48,Adult,Beauty,4,300,1200, £18.00 ,,,
68,2/10/2023,CUST068,Male,25,Young Adult,Electronics,1,300,300, £4.50 ,,,
69,4/30/2023,CUST069,Female,56,Senior,Beauty,3,25,75, £1.13 ,,,
70,2/21/2023,CUST070,Female,43,Adult,Clothing,1,300,300, £4.50 ,,,
71,7/14/2023,CUST071,Female,51,Senior,Beauty,4,25,100, £1.50 ,,,
72,5/23/2023,CUST072,Female,20,Young Adult,Electronics,4,500,2000, £30.00 ,,,
73,8/21/2023,CUST073,Male,29,Young Adult,Electronics,3,30,90, £1.35 ,,,
74,11/22/2023,CUST074,Female,18,Young Adult,Beauty,4,500,2000, £30.00 ,,,
75,7/6/2023,CUST075,Male,61,Senior,Beauty,4,50,200, £3.00 ,,,
76,3/25/2023,CUST076,Female,22,Young Adult,Electronics,2,50,100, £1.50 ,,,
77,7/9/2023,CUST077,Female,47,Adult,Clothing,2,50,100, £1.50 ,,,
78,7/1/2023,CUST078,Female,47,Adult,Clothing,3,500,1500, £22.50 ,,,
79,4/18/2023,CUST079,Male,34,Adult,Beauty,1,300,300, £4.50 ,,,
80,12/10/2023,CUST080,Female,64,Senior,Clothing,2,30,60, £0.90 ,,,
81,5/17/2023,CUST081,Male,40,Adult,Electronics,1,50,50, £0.75 ,,,
82,12/26/2023,CUST082,Female,32,Adult,Beauty,4,50,200, £3.00 ,,,
83,12/16/2023,CUST083,Male,54,Senior,Electronics,2,50,100, £1.50 ,,,
84,11/28/2023,CUST084,Female,38,Adult,Electronics,3,30,90, £1.35 ,,,
85,2/6/2023,CUST085,Male,31,Adult,Clothing,3,50,150, £2.25 ,,,
86,11/8/2023,CUST086,Male,19,Young Adult,Beauty,3,30,90, £1.35 ,,,
87,11/22/2023,CUST087,Female,28,Young Adult,Beauty,2,50,100, £1.50 ,,,
88,3/29/2023,CUST088,Male,56,Senior,Clothing,1,500,500, £7.50 ,,,
89,10/1/2023,CUST089,Female,55,Senior,Electronics,4,500,2000, £30.00 ,,,
90,5/6/2023,CUST090,Female,51,Senior,Electronics,1,30,30, £0.45 ,,,
91,3/25/2023,CUST091,Female,55,Senior,Electronics,1,500,500, £7.50 ,,,
92,8/25/2023,CUST092,Female,51,Senior,Electronics,4,30,120, £1.80 ,,,
93,7/14/2023,CUST093,Female,35,Adult,Beauty,4,500,2000, £30.00 ,,,
94,5/19/2023,CUST094,Female,47,Adult,Beauty,2,500,1000, £15.00 ,,,
95,11/24/2023,CUST095,Female,32,Adult,Clothing,2,30,60, £0.90 ,,,
96,12/19/2023,CUST096,Female,44,Adult,Clothing,2,300,600, £9.00 ,,,
97,10/13/2023,CUST097,Female,51,Senior,Beauty,2,500,1000, £15.00 ,,,
98,4/23/2023,CUST098,Female,55,Senior,Beauty,2,50,100, £1.50 ,,,
99,12/17/2023,CUST099,Female,50,Adult,Electronics,4,300,1200, £18.00 ,,,
100,6/16/2023,CUST100,Male,41,Adult,Electronics,1,30,30, £0.45 ,,,
101,1/29/2023,CUST101,Male,32,Adult,Clothing,2,300,600, £9.00 ,,,
102,4/28/2023,CUST102,Female,47,Adult,Beauty,2,25,50, £0.75 ,,,
103,1/17/2023,CUST103,Female,59,Senior,Clothing,1,25,25, £0.38 ,,,
104,6/11/2023,CUST104,Female,34,Adult,Beauty,2,500,1000, £15.00 ,,,
105,7/25/2023,CUST105,Female,22,Young Adult,Electronics,1,500,500, £7.50 ,,,
106,5/18/2023,CUST106,Female,46,Adult,Clothing,1,50,50, £0.75 ,,,
107,2/3/2023,CUST107,Female,21,Young Adult,Clothing,4,300,1200, £18.00 ,,,
108,4/19/2023,CUST108,Female,27,Young Adult,Beauty,3,25,75, £1.13 ,,,
109,10/18/2023,CUST109,Female,34,Adult,Electronics,4,500,2000, £30.00 ,,,
110,6/11/2023,CUST110,Male,27,Young Adult,Clothing,3,300,900, £13.50 ,,,
111,4/19/2023,CUST111,Female,34,Adult,Electronics,3,500,1500, £22.50 ,,,
112,12/2/2023,CUST112,Male,37,Adult,Clothing,3,500,1500, £22.50 ,,,
113,9/13/2023,CUST113,Female,41,Adult,Electronics,2,25,50, £0.75 ,,,
114,7/22/2023,CUST114,Female,22,Young Adult,Beauty,4,25,100, £1.50 ,,,
115,11/26/2023,CUST115,Male,51,Senior,Clothing,3,500,1500, £22.50 ,,,
116,8/23/2023,CUST116,Female,23,Young Adult,Clothing,1,30,30, £0.45 ,,,
117,3/15/2023,CUST117,Male,19,Young Adult,Electronics,2,500,1000, £15.00 ,,,
118,5/16/2023,CUST118,Female,30,Adult,Electronics,4,500,2000, £30.00 ,,,
119,3/13/2023,CUST119,Female,60,Senior,Clothing,3,50,150, £2.25 ,,,
120,5/7/2023,CUST120,Male,60,Senior,Beauty,1,50,50, £0.75 ,,,
121,10/15/2023,CUST121,Female,28,Young Adult,Electronics,4,50,200, £3.00 ,,,
122,10/3/2023,CUST122,Male,64,Senior,Electronics,4,30,120, £1.80 ,,,
123,5/15/2023,CUST123,Female,40,Adult,Electronics,2,30,60, £0.90 ,,,
124,10/27/2023,CUST124,Male,33,Adult,Clothing,4,500,2000, £30.00 ,,,
125,8/8/2023,CUST125,Male,48,Adult,Clothing,2,50,100, £1.50 ,,,
126,10/26/2023,CUST126,Female,28,Young Adult,Clothing,3,30,90, £1.35 ,,,
127,7/24/2023,CUST127,Female,33,Adult,Clothing,2,25,50, £0.75 ,,,
128,7/5/2023,CUST128,Male,25,Young Adult,Beauty,1,500,500, £7.50 ,,,
129,4/23/2023,CUST129,Female,21,Young Adult,Beauty,2,300,600, £9.00 ,,,
130,3/12/2023,CUST130,Female,57,Senior,Clothing,1,500,500, £7.50 ,,,
131,9/18/2023,CUST131,Female,21,Young Adult,Beauty,2,300,600, £9.00 ,,,
132,9/10/2023,CUST132,Male,42,Adult,Electronics,4,50,200, £3.00 ,,,
133,2/16/2023,CUST133,Male,20,Young Adult,Electronics,3,300,900, £13.50 ,,,
134,1/25/2023,CUST134,Male,49,Adult,Electronics,1,50,50, £0.75 ,,,
135,2/26/2023,CUST135,Male,20,Young Adult,Clothing,2,25,50, £0.75 ,,,
136,3/20/2023,CUST136,Male,44,Adult,Electronics,2,300,600, £9.00 ,,,
137,11/18/2023,CUST137,Male,46,Adult,Beauty,2,500,1000, £15.00 ,,,
138,3/23/2023,CUST138,Male,49,Adult,Clothing,4,50,200, £3.00 ,,,
139,12/15/2023,CUST139,Male,36,Adult,Beauty,4,500,2000, £30.00 ,,,
140,8/5/2023,CUST140,Male,38,Adult,Electronics,1,30,30, £0.45 ,,,
141,11/2/2023,CUST141,Female,22,Young Adult,Electronics,1,50,50, £0.75 ,,,
142,2/2/2023,CUST142,Male,35,Adult,Electronics,4,300,1200, £18.00 ,,,
143,7/17/2023,CUST143,Female,45,Adult,Clothing,1,50,50, £0.75 ,,,
144,7/15/2023,CUST144,Female,59,Senior,Beauty,3,500,1500, £22.50 ,,,
145,11/2/2023,CUST145,Female,39,Adult,Clothing,3,25,75, £1.13 ,,,
146,8/28/2023,CUST146,Male,38,Adult,Clothing,4,50,200, £3.00 ,,,
147,9/28/2023,CUST147,Male,23,Young Adult,Electronics,1,300,300, £4.50 ,,,
148,5/9/2023,CUST148,Male,18,Young Adult,Clothing,2,30,60, £0.90 ,,,
149,10/11/2023,CUST149,Male,22,Young Adult,Clothing,3,25,75, £1.13 ,,,
150,1/6/2023,CUST150,Female,58,Senior,Electronics,4,30,120, £1.80 ,,,
151,12/15/2023,CUST151,Male,29,Young Adult,Clothing,1,50,50, £0.75 ,,,
152,2/28/2023,CUST152,Male,43,Adult,Electronics,4,500,2000, £30.00 ,,,
153,12/16/2023,CUST153,Male,63,Senior,Electronics,2,500,1000, £15.00 ,,,
154,10/2/2023,CUST154,Male,51,Senior,Electronics,3,300,900, £13.50 ,,,
155,5/17/2023,CUST155,Male,31,Adult,Electronics,4,500,2000, £30.00 ,,,
156,11/25/2023,CUST156,Female,43,Adult,Clothing,4,25,100, £1.50 ,,,
157,6/24/2023,CUST157,Male,62,Senior,Electronics,4,500,2000, £30.00 ,,,
158,2/27/2023,CUST158,Female,44,Adult,Electronics,2,300,600, £9.00 ,,,
159,5/31/2023,CUST159,Male,26,Young Adult,Clothing,4,50,200, £3.00 ,,,
160,8/11/2023,CUST160,Female,43,Adult,Clothing,2,50,100, £1.50 ,,,
161,3/22/2023,CUST161,Male,64,Senior,Beauty,2,500,1000, £15.00 ,,,
162,8/21/2023,CUST162,Male,39,Adult,Clothing,2,30,60, £0.90 ,,,
163,1/2/2023,CUST163,Female,64,Senior,Clothing,3,50,150, £2.25 ,,,
164,5/15/2023,CUST164,Female,47,Adult,Beauty,3,500,1500, £22.50 ,,,
165,9/14/2023,CUST165,Female,60,Senior,Clothing,4,300,1200, £18.00 ,,,
166,4/2/2023,CUST166,Male,34,Adult,Clothing,4,500,2000, £30.00 ,,,
167,9/17/2023,CUST167,Female,43,Adult,Clothing,3,50,150, £2.25 ,,,
168,2/24/2023,CUST168,Male,53,Senior,Clothing,1,300,300, £4.50 ,,,
169,11/17/2023,CUST169,Male,18,Young Adult,Beauty,3,500,1500, £22.50 ,,,
170,6/2/2023,CUST170,Female,25,Young Adult,Clothing,2,25,50, £0.75 ,,,
171,11/24/2023,CUST171,Female,52,Senior,Clothing,3,300,900, £13.50 ,,,
172,9/17/2023,CUST172,Male,32,Adult,Beauty,2,25,50, £0.75 ,,,
173,11/8/2023,CUST173,Male,64,Senior,Electronics,4,30,120, £1.80 ,,,
174,4/12/2023,CUST174,Female,39,Adult,Beauty,1,300,300, £4.50 ,,,
175,3/20/2023,CUST175,Female,31,Adult,Electronics,4,25,100, £1.50 ,,,
176,7/11/2023,CUST176,Female,43,Adult,Beauty,2,50,100, £1.50 ,,,
177,3/24/2023,CUST177,Male,45,Adult,Beauty,2,50,100, £1.50 ,,,
178,10/4/2023,CUST178,Male,40,Adult,Clothing,2,30,60, £0.90 ,,,
179,9/29/2023,CUST179,Male,31,Adult,Electronics,1,300,300, £4.50 ,,,
180,1/1/2023,CUST180,Male,41,Adult,Clothing,3,300,900, £13.50 ,,,
181,11/3/2023,CUST181,Male,19,Young Adult,Electronics,4,300,1200, £18.00 ,,,
182,6/15/2023,CUST182,Male,62,Senior,Beauty,4,30,120, £1.80 ,,,
183,9/8/2023,CUST183,Female,43,Adult,Beauty,3,300,900, £13.50 ,,,
184,1/10/2023,CUST184,Male,31,Adult,Electronics,4,50,200, £3.00 ,,,
185,2/27/2023,CUST185,Male,24,Young Adult,Clothing,1,25,25, £0.38 ,,,
186,7/5/2023,CUST186,Male,20,Young Adult,Clothing,4,50,200, £3.00 ,,,
187,6/7/2023,CUST187,Female,64,Senior,Clothing,2,50,100, £1.50 ,,,
188,5/3/2023,CUST188,Male,40,Adult,Clothing,3,25,75, £1.13 ,,,
189,1/30/2023,CUST189,Male,63,Senior,Beauty,1,50,50, £0.75 ,,,
190,5/4/2023,CUST190,Female,60,Senior,Beauty,3,30,90, £1.35 ,,,
191,10/18/2023,CUST191,Male,64,Senior,Beauty,1,25,25, £0.38 ,,,
192,2/10/2023,CUST192,Male,62,Senior,Beauty,2,50,100, £1.50 ,,,
193,2/13/2023,CUST193,Male,35,Adult,Beauty,3,500,1500, £22.50 ,,,
194,9/6/2023,CUST194,Male,55,Senior,Clothing,4,50,200, £3.00 ,,,
195,2/5/2023,CUST195,Male,52,Senior,Clothing,1,30,30, £0.45 ,,,
196,9/30/2023,CUST196,Female,32,Adult,Clothing,3,300,900, £13.50 ,,,
197,3/6/2023,CUST197,Female,42,Adult,Clothing,4,50,200, £3.00 ,,,
198,3/7/2023,CUST198,Female,54,Senior,Beauty,3,300,900, £13.50 ,,,
199,12/4/2023,CUST199,Male,45,Adult,Beauty,3,500,1500, £22.50 ,,,
200,9/1/2023,CUST200,Male,27,Young Adult,Beauty,3,50,150, £2.25 ,,,
201,10/9/2023,CUST201,Male,56,Senior,Electronics,1,25,25, £0.38 ,,,
202,3/26/2023,CUST202,Female,34,Adult,Clothing,4,300,1200, £18.00 ,,,
203,5/16/2023,CUST203,Male,56,Senior,Clothing,2,500,1000, £15.00 ,,,
204,9/28/2023,CUST204,Male,39,Adult,Beauty,1,25,25, £0.38 ,,,
205,11/7/2023,CUST205,Female,43,Adult,Clothing,1,25,25, £0.38 ,,,
206,8/5/2023,CUST206,Male,61,Senior,Clothing,1,25,25, £0.38 ,,,
207,4/19/2023,CUST207,Female,42,Adult,Beauty,2,25,50, £0.75 ,,,
208,10/4/2023,CUST208,Female,34,Adult,Electronics,4,50,200, £3.00 ,,,
209,12/20/2023,CUST209,Female,30,Adult,Electronics,4,50,200, £3.00 ,,,
210,4/13/2023,CUST210,Male,37,Adult,Electronics,4,50,200, £3.00 ,,,
211,1/1/2024,CUST211,Male,42,Adult,Beauty,3,500,1500, £22.50 ,,,
212,6/9/2023,CUST212,Male,21,Young Adult,Clothing,3,500,1500, £22.50 ,,,
213,7/24/2023,CUST213,Male,27,Young Adult,Beauty,3,500,1500, £22.50 ,,,
214,12/10/2023,CUST214,Male,20,Young Adult,Beauty,2,30,60, £0.90 ,,,
215,11/29/2023,CUST215,Male,58,Senior,Clothing,3,500,1500, £22.50 ,,,
216,7/11/2023,CUST216,Male,62,Senior,Electronics,2,50,100, £1.50 ,,,
217,8/13/2023,CUST217,Female,35,Adult,Electronics,4,50,200, £3.00 ,,,
218,9/22/2023,CUST218,Male,64,Senior,Beauty,3,30,90, £1.35 ,,,
219,8/20/2023,CUST219,Female,53,Senior,Electronics,3,30,90, £1.35 ,,,
220,3/3/2023,CUST220,Male,64,Senior,Beauty,1,500,500, £7.50 ,,,
221,5/7/2023,CUST221,Male,39,Adult,Beauty,2,300,600, £9.00 ,,,
222,4/26/2023,CUST222,Male,51,Senior,Clothing,4,30,120, £1.80 ,,,
223,2/2/2023,CUST223,Female,64,Senior,Clothing,1,25,25, £0.38 ,,,
224,6/23/2023,CUST224,Female,25,Young Adult,Clothing,1,50,50, £0.75 ,,,
225,1/11/2023,CUST225,Female,57,Senior,Beauty,4,25,100, £1.50 ,,,
226,10/29/2023,CUST226,Female,61,Senior,Clothing,1,50,50, £0.75 ,,,
227,10/11/2023,CUST227,Male,36,Adult,Electronics,2,50,100, £1.50 ,,,
228,4/28/2023,CUST228,Female,59,Senior,Electronics,2,30,60, £0.90 ,,,
229,10/29/2023,CUST229,Male,58,Senior,Beauty,3,30,90, £1.35 ,,,
230,4/23/2023,CUST230,Male,54,Senior,Beauty,1,25,25, £0.38 ,,,
231,1/4/2023,CUST231,Female,23,Young Adult,Clothing,3,50,150, £2.25 ,,,
232,2/6/2023,CUST232,Female,43,Adult,Beauty,1,25,25, £0.38 ,,,
233,12/29/2023,CUST233,Female,51,Senior,Beauty,2,300,600, £9.00 ,,,
234,11/20/2023,CUST234,Female,62,Senior,Electronics,2,25,50, £0.75 ,,,
235,1/31/2023,CUST235,Female,23,Young Adult,Electronics,2,500,1000, £15.00 ,,,
236,4/28/2023,CUST236,Female,54,Senior,Clothing,1,25,25, £0.38 ,,,
237,2/4/2023,CUST237,Female,50,Adult,Beauty,2,500,1000, £15.00 ,,,
238,1/17/2023,CUST238,Female,39,Adult,Beauty,1,500,500, £7.50 ,,,
239,6/19/2023,CUST239,Male,38,Adult,Electronics,3,500,1500, £22.50 ,,,
240,2/6/2023,CUST240,Female,23,Young Adult,Beauty,1,300,300, £4.50 ,,,
241,9/21/2023,CUST241,Female,23,Young Adult,Electronics,3,25,75, £1.13 ,,,
242,5/2/2023,CUST242,Male,21,Young Adult,Clothing,1,25,25, £0.38 ,,,
243,5/23/2023,CUST243,Female,47,Adult,Electronics,3,300,900, £13.50 ,,,
244,12/9/2023,CUST244,Male,28,Young Adult,Beauty,2,50,100, £1.50 ,,,
245,9/6/2023,CUST245,Male,47,Adult,Clothing,3,30,90, £1.35 ,,,
246,4/20/2023,CUST246,Female,48,Adult,Electronics,2,25,50, £0.75 ,,,
247,10/4/2023,CUST247,Male,41,Adult,Electronics,2,30,60, £0.90 ,,,
248,3/9/2023,CUST248,Male,26,Young Adult,Clothing,3,300,900, £13.50 ,,,
249,10/20/2023,CUST249,Male,20,Young Adult,Clothing,1,50,50, £0.75 ,,,
250,10/23/2023,CUST250,Male,48,Adult,Electronics,1,50,50, £0.75 ,,,
251,8/31/2023,CUST251,Female,57,Senior,Beauty,4,50,200, £3.00 ,,,
252,5/5/2023,CUST252,Male,54,Senior,Electronics,1,300,300, £4.50 ,,,
253,8/31/2023,CUST253,Female,53,Senior,Clothing,4,500,2000, £30.00 ,,,
254,7/28/2023,CUST254,Male,41,Adult,Electronics,1,500,500, £7.50 ,,,
255,4/8/2023,CUST255,Male,48,Adult,Clothing,1,30,30, £0.45 ,,,
256,2/18/2023,CUST256,Male,23,Young Adult,Clothing,2,500,1000, £15.00 ,,,
257,2/19/2023,CUST257,Male,19,Young Adult,Beauty,4,500,2000, £30.00 ,,,
258,12/4/2023,CUST258,Female,37,Adult,Clothing,1,50,50, £0.75 ,,,
259,8/9/2023,CUST259,Female,45,Adult,Clothing,4,50,200, £3.00 ,,,
260,7/1/2023,CUST260,Male,28,Young Adult,Beauty,2,30,60, £0.90 ,,,
261,8/5/2023,CUST261,Male,21,Young Adult,Clothing,2,25,50, £0.75 ,,,
262,7/30/2023,CUST262,Female,32,Adult,Beauty,4,30,120, £1.80 ,,,
263,8/28/2023,CUST263,Male,23,Young Adult,Beauty,2,30,60, £0.90 ,,,
264,1/28/2023,CUST264,Male,47,Adult,Clothing,3,300,900, £13.50 ,,,
265,12/11/2023,CUST265,Male,55,Senior,Clothing,3,300,900, £13.50 ,,,
266,12/1/2023,CUST266,Female,19,Young Adult,Electronics,2,30,60, £0.90 ,,,
267,11/27/2023,CUST267,Female,32,Adult,Beauty,3,30,90, £1.35 ,,,
268,2/20/2023,CUST268,Female,28,Young Adult,Electronics,1,30,30, £0.45 ,,,
269,2/1/2023,CUST269,Male,25,Young Adult,Clothing,4,500,2000, £30.00 ,,,
270,7/26/2023,CUST270,Male,43,Adult,Electronics,1,300,300, £4.50 ,,,
271,6/23/2023,CUST271,Female,62,Senior,Beauty,4,30,120, £1.80 ,,,
272,2/25/2023,CUST272,Female,61,Senior,Electronics,2,50,100, £1.50 ,,,
273,5/8/2023,CUST273,Female,22,Young Adult,Beauty,1,50,50, £0.75 ,,,
274,4/9/2023,CUST274,Female,23,Young Adult,Clothing,2,500,1000, £15.00 ,,,
275,4/8/2023,CUST275,Male,43,Adult,Clothing,2,500,1000, £15.00 ,,,
276,10/2/2023,CUST276,Female,21,Young Adult,Beauty,4,25,100, £1.50 ,,,
277,8/18/2023,CUST277,Male,36,Adult,Clothing,4,25,100, £1.50 ,,,
278,3/13/2023,CUST278,Female,37,Adult,Clothing,4,25,100, £1.50 ,,,
279,8/5/2023,CUST279,Male,50,Adult,Clothing,1,500,500, £7.50 ,,,
280,4/4/2023,CUST280,Female,37,Adult,Clothing,3,500,1500, £22.50 ,,,
281,5/23/2023,CUST281,Female,29,Young Adult,Beauty,4,500,2000, £30.00 ,,,
282,8/25/2023,CUST282,Female,64,Senior,Electronics,4,50,200, £3.00 ,,,
283,5/8/2023,CUST283,Female,18,Young Adult,Electronics,1,500,500, £7.50 ,,,
284,2/8/2023,CUST284,Male,43,Adult,Clothing,4,50,200, £3.00 ,,,
285,8/15/2023,CUST285,Female,31,Adult,Electronics,1,25,25, £0.38 ,,,
286,10/9/2023,CUST286,Male,55,Senior,Electronics,2,25,50, £0.75 ,,,
287,2/20/2023,CUST287,Male,54,Senior,Clothing,4,25,100, £1.50 ,,,
288,1/26/2023,CUST288,Male,28,Young Adult,Clothing,4,30,120, £1.80 ,,,
289,11/30/2023,CUST289,Male,53,Senior,Electronics,2,30,60, £0.90 ,,,
290,10/4/2023,CUST290,Female,30,Adult,Beauty,2,300,600, £9.00 ,,,
291,1/8/2023,CUST291,Male,60,Senior,Clothing,2,300,600, £9.00 ,,,
292,2/17/2023,CUST292,Male,20,Young Adult,Beauty,4,300,1200, £18.00 ,,,
293,5/2/2023,CUST293,Male,50,Adult,Electronics,3,30,90, £1.35 ,,,
294,3/27/2023,CUST294,Female,23,Young Adult,Clothing,3,30,90, £1.35 ,,,
295,7/28/2023,CUST295,Female,27,Young Adult,Beauty,3,300,900, £13.50 ,,,
296,9/6/2023,CUST296,Female,22,Young Adult,Clothing,4,300,1200, £18.00 ,,,
297,9/4/2023,CUST297,Female,40,Adult,Electronics,2,500,1000, £15.00 ,,,
298,4/20/2023,CUST298,Male,27,Young Adult,Beauty,4,300,1200, £18.00 ,,,
299,7/25/2023,CUST299,Male,61,Senior,Electronics,2,500,1000, £15.00 ,,,
300,1/31/2023,CUST300,Female,19,Young Adult,Electronics,4,50,200, £3.00 ,,,
301,3/26/2023,CUST301,Male,30,Adult,Clothing,4,30,120, £1.80 ,,,
302,7/14/2023,CUST302,Male,57,Senior,Beauty,2,300,600, £9.00 ,,,
303,1/2/2023,CUST303,Male,19,Young Adult,Electronics,3,30,90, £1.35 ,,,
304,7/19/2023,CUST304,Female,37,Adult,Electronics,2,30,60, £0.90 ,,,
305,5/16/2023,CUST305,Female,18,Young Adult,Beauty,1,30,30, £0.45 ,,,
306,8/21/2023,CUST306,Male,54,Senior,Electronics,1,50,50, £0.75 ,,,
307,5/27/2023,CUST307,Female,26,Young Adult,Electronics,2,25,50, £0.75 ,,,
